블루오션점수,category,품명,진입유형,중기경쟁비율,마진배수,정부단가중앙값,동급시중가중앙값,경쟁업체수_하한,품목수,동급매칭수,수요금액
71.7,MAS,무선랜액세스포인트,개방형,0,2.06,2125000,1032320,9,34,5,1624616350
71.1,MAS,우산빗물제거기,개방형,0,1.89,1666750,880000,2,8,11,115144400
70.2,MAS,비디오스위쳐,개방형,0,2.09,5147000,2462005,37,144,10,764570480
70.1,MAS,플라스틱그레이팅,개방형,0,1.91,91000,47620,2,6,13,30812670
70.0,MAS,졸업앨범,개방형,0,1.82,27270,15000,21,70,31,7625715240
69.7,MAS,태블릿컴퓨터,개방형,0,1.74,590000,339000,5,11,7,1907009300
69.6,제3자단가,인터콤시스템,개방형,0,1.73,1005000,579980,2,19,7,123952000
69.1,MAS,오디오앰프,개방형,0,1.9,1788000,940000,68,496,7,2120448400
69.0,프린터,레이저프린터,개방형,0,1.78,594000,333900,7,62,22,1191818189
68.5,MAS,에어커튼,개방형,0,1.82,490000,269500,5,55,18,213035000
68.4,제3자단가,우산,개방형,0,1.54,25000,16200,1,17,22,18590000
68.3,MAS,스토브,개방형,0,1.95,445550,229000,14,154,6,217323000
68.2,MAS,살균제,개방형,0,1.82,45500,25000,40,174,16,1552498090
68.2,MAS,도로반사경,개방형,0,1.87,153000,81950,5,15,12,93642800
68.1,MAS,통신케이블어셈블리,개방형,0,1.8,220000,122310,58,685,13,1923573890
67.8,MAS,그레이팅덮개,개방형,0,1.73,88000,51000,17,111,7,1628456500
67.8,MAS,오디오장비커넥터및스테이지박스,개방형,0,1.9,948500,500000,11,26,13,163683100
67.6,세탁기,가정용세탁기,개방형,0,1.5,695500,465150,3,10,16,655324000
67.6,MAS,스캐너,개방형,0,1.53,765000,499000,2,12,30,127375700
67.5,MAS,시선유도봉,개방형,0,1.86,32200,17315,24,73,10,365031900
67.4,MAS,막구조물,개방형,0,1.62,430000,266040,34,855,33,5341286190
67.4,MAS,화분,개방형,0,1.76,123300,69900,23,201,11,949595400
67.4,MAS,자동승강조명장치,개방형,0,1.61,1200000,744100,7,116,13,1279669200
66.8,진공청소기,진공청소기,개방형,0,1.79,364000,202840,12,62,6,205043600
66.6,MAS,체조용바또는빔,개방형,2,2.05,1590000,777120,16,42,5,25223000
66.4,제3자단가,컴퓨터용보안기,개방형,0,1.39,67400,48410,1,10,15,10307500
66.3,MAS,유틸리티소프트웨어,개방형,0,1.46,4143000,2833000,20,79,15,7049363360
66.0,MAS,노트북컴퓨터,개방형,0,1.34,2003500,1499000,9,78,21,7564029000
65.8,모니터,오디오모니터,개방형,0,1.82,640000,352250,25,27,14,90838300
65.5,MAS,전력감시또는제어장치,개방형,0,1.71,193500,113270,5,6,5,27389000
65.4,공기청정기,공기청정기,개방형,0,1.68,1467500,871110,19,42,8,246156000
65.4,프린터,잉크젯프린터,개방형,0,1.42,519000,365000,2,7,31,38389000
